topic,meeting_count,avg_summary_sentiment_score,avg_utt_composite_score,avg_utt_positive_ratio,avg_utt_negative_ratio,negative_dominant_meetings,action_item_pressure_hint
Support Troubleshooting & Case Resolution,33,3.1667,2.8956,0.1421,0.1943,17,high
Compliance & Audit Readiness,27,4.1741,3.9182,0.5359,0.0768,4,moderate
Incident Response & Outage Management,20,2.54,2.6018,0.1421,0.3412,16,high
"Identity, Access & Provisioning",8,3.6625,3.3908,0.316,0.1207,3,high
"Renewal, Pricing & Commercial Negotiation",6,3.9167,3.5761,0.3001,0.0121,0,low
Product Roadmap & Engineering Execution,3,3.7,3.1212,0.0769,0.0163,0,low
Platform Reliability & Performance,2,2.9,2.4709,0.0909,0.3554,1,high
Security Monitoring & Threat Detection,1,3.9,2.9744,0.0641,0.0769,1,high
